user_id,event_name,timestamp,platform,version
u0001,app_open,2026-08-04T10:00:00,Android,V3.2
u0001,view_onboarding,2026-08-04T10:00:00,Android,V3.2
u0001,complete_step1,2026-08-04T10:00:00,Android,V3.2
u0001,complete_step2,2026-08-04T10:00:00,Android,V3.2
u0001,purchase,2026-08-04T10:00:00,Android,V3.2
u0002,app_open,2026-08-04T10:00:00,Android,V3.2
u0002,view_onboarding,2026-08-04T10:00:00,Android,V3.2
u0002,complete_step1,2026-08-04T10:00:00,Android,V3.2
u0002,complete_step2,2026-08-04T10:00:00,Android,V3.2
u0002,purchase,2026-08-04T10:00:00,Android,V3.2
u0003,app_open,2026-08-04T10:00:00,Android,V3.2
u0003,view_onboarding,2026-08-04T10:00:00,Android,V3.2
u0003,complete_step1,2026-08-04T10:00:00,Android,V3.2
u0003,complete_step2,2026-08-04T10:00:00,Android,V3.2
u0003,complete_step3,2026-08-04T10:00:00,Android,V3.2
u0003,purchase,2026-08-04T10:00:00,Android,V3.2
u0004,app_open,2026-08-04T10:00:00,Android,V3.2
u0004,view_onboarding,2026-08-04T10:00:00,Android,V3.2
u0004,complete_step1,2026-08-04T10:00:00,Android,V3.2
u0004,complete_step2,2026-08-04T10:00:00,Android,V3.2
u0004,purchase,2026-08-04T10:00:00,Android,V3.2
u0005,app_open,2026-08-04T10:00:00,Android,V3.2
u0005,view_onboarding,2026-08-04T10:00:00,Android,V3.2
u0005,complete_step1,2026-08-04T10:00:00,Android,V3.2
u0005,complete_step2,2026-08-04T10:00:00,Android,V3.2
u0005,purchase,2026-08-04T10:00:00,Android,V3.2
u0006,app_open,2026-08-04T10:00:00,Android,V3.2
u0006,view_onboarding,2026-08-04T10:00:00,Android,V3.2
u0006,complete_step1,2026-08-04T10:00:00,Android,V3.2
u0006,complete_step2,2026-08-04T10:00:00,Android,V3.2
u0006,complete_step3,2026-08-04T10:00:00,Android,V3.2
u0006,purchase,2026-08-04T10:00:00,Android,V3.2
u0007,app_open,2026-08-04T10:00:00,Android,V3.2
u0007,view_onboarding,2026-08-04T10:00:00,Android,V3.2
u0007,complete_step1,2026-08-04T10:00:00,Android,V3.2
u0007,complete_step2,2026-08-04T10:00:00,Android,V3.2
u0007,purchase,2026-08-04T10:00:00,Android,V3.2
u0008,app_open,2026-08-04T10:00:00,Android,V3.2
u0008,view_onboarding,2026-08-04T10:00:00,Android,V3.2
u0008,complete_step1,2026-08-04T10:00:00,Android,V3.2
u0008,complete_step2,2026-08-04T10:00:00,Android,V3.2
u0008,purchase,2026-08-04T10:00:00,Android,V3.2
u0009,app_open,2026-08-04T10:00:00,Android,V3.2
u0009,view_onboarding,2026-08-04T10:00:00,Android,V3.2
u0009,complete_step1,2026-08-04T10:00:00,Android,V3.2
u0009,complete_step2,2026-08-04T10:00:00,Android,V3.2
u0009,complete_step3,2026-08-04T10:00:00,Android,V3.2
u0009,purchase,2026-08-04T10:00:00,Android,V3.2
u0010,app_open,2026-08-04T10:00:00,Android,V3.2
u0010,view_onboarding,2026-08-04T10:00:00,Android,V3.2
u0010,complete_step1,2026-08-04T10:00:00,Android,V3.2
u0010,complete_step2,2026-08-04T10:00:00,Android,V3.2
u0010,purchase,2026-08-04T10:00:00,Android,V3.2
u0011,app_open,2026-08-04T10:00:00,Android,V3.2
u0011,view_onboarding,2026-08-04T10:00:00,Android,V3.2
u0011,complete_step1,2026-08-04T10:00:00,Android,V3.2
u0011,complete_step2,2026-08-04T10:00:00,Android,V3.2
u0011,purchase,2026-08-04T10:00:00,Android,V3.2
u0012,app_open,2026-08-04T10:00:00,Android,V3.2
u0012,view_onboarding,2026-08-04T10:00:00,Android,V3.2
u0012,complete_step1,2026-08-04T10:00:00,Android,V3.2
u0012,complete_step2,2026-08-04T10:00:00,Android,V3.2
u0012,complete_step3,2026-08-04T10:00:00,Android,V3.2
u0012,purchase,2026-08-04T10:00:00,Android,V3.2
u0013,app_open,2026-08-04T10:00:00,Android,V3.2
u0013,view_onboarding,2026-08-04T10:00:00,Android,V3.2
u0013,complete_step1,2026-08-04T10:00:00,Android,V3.2
u0013,complete_step2,2026-08-04T10:00:00,Android,V3.2
u0013,purchase,2026-08-04T10:00:00,Android,V3.2
u0014,app_open,2026-08-04T10:00:00,Android,V3.2
u0014,view_onboarding,2026-08-04T10:00:00,Android,V3.2
u0014,complete_step1,2026-08-04T10:00:00,Android,V3.2
u0014,complete_step2,2026-08-04T10:00:00,Android,V3.2
u0014,purchase,2026-08-04T10:00:00,Android,V3.2
u0015,app_open,2026-08-04T10:00:00,Android,V3.2
u0015,view_onboarding,2026-08-04T10:00:00,Android,V3.2
u0015,complete_step1,2026-08-04T10:00:00,Android,V3.2
u0015,complete_step2,2026-08-04T10:00:00,Android,V3.2
